,title,artist,full,reff,emotion
0,surat cinta,vina panduwinata,hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. sepucuk surat yang wangi warnanya pun merah hati. bagai bingkisan pertama tidak sabar kubuka. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga kumulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku,surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku,bahagia
1,ya sudahlah,"bondan prakoso, fade2black",ketika mimpimu yang begitu indah. tidak pernah terwujud ya sudahlah. saat kau berlari mengejar anganmu. dan tidak pernah sampai ya sudahlah. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. ya satu dari sekian kemungkinan. kau jatuh tanpa ada harapan. saat itu raga kupersembahkan. bersama jiwa cita cinta dan harapan. kita sambung satu persatu sebab akibat. tapi tenanglah mata hati kita kan lihat. menuntun ke arah mata angin bahagia. kau dan aku tahu jalan selalu ada. juga aku tahu lagi problema kan terus menerjang. bagai deras ombak yang menabrak karang. namun aku tahu aku tahu kau mampu untuk tetap tenang. hadapi ini bersamaku hingga ajal datang. sempat kau berharap keramahan cinta. tidak pernah kau dapat ya sudahlah. yeah dengar aku bernyanyi. semua ini belum berakhir. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. satukan langkah. langkah yang beriring. genggam hati rangkul emosi. genggamlah hatiku satukan langkah kita. sama rasa tanpa pamrih. ini cinta across the sea. peluklah diriku. terbanglah bersamaku melayang jauh. come fly with me baby . ini aku dari ujung rambut menyusur jemari. sosok ini yang menerima kelemahan hati. yeah aku cinta kau ini cinta kita . cukup satu waktu yes untuk satu cinta . satu cinta ini akan tuntun jalanku. rapatkan jiwamu ya tenang disisiku. rebahkan rasamu untuk yang ditunggu. bahagia hingga ujung waktu. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay,apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay,bahagia
2,kenangan terindah,samsons,aku yang lemah tanpamu. aku yang rentan karena. cinta yang telah hilang darimu. yang mampu menyanjungku. selama mata terbuka. sampai jantung tidak berdetak. selama itu pun aku mampu untuk mengenangmu. darimu aku temukan hidupku. bagiku kaulah cinta sejati. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidup ku. namun takkan mudah bagi ku. meninggalkan jejak hidup mu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untukku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupku. yang telah terukir abadi. sebagai kenangan yang terindah,bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah,sedih
3,salam rindu,tipe-x,saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. bersama angin malam kusetia menunggu. mimpikan mimpikan aku oh sayangku. peluk erat hati ini dan jagalah selalu. dan kan kudendangkan lagu ini untukmu. dengarlah. dengarlah sayang. ingatlah saat kita bersama. kau pegang tanganku kutatap matamu. semua terasa indah tidak seorangpun mengganggu. bersedih dan tertawa kita tetap bersatu. bintang benderang secerah hatiku. yang selalu terbayang kekasihku sayang. di setiap mimpimu aku kan selalu berdendang. dengarlah. dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. dengarlah. oh dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. yakinlah yakinlah bungaku. sayangku,kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku,bahagia
4,i love u bibeh,the changcuters,biar kata nenek sihir. bagiku kau britney spears. aku cinta kamu sayang. biar kata mirip buaya. bagiku luna maya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. biar kata kau musibah. bagiku kau anugerah. aku cinta kamu sayang. biar orang berkata apa. bagiku kau segalanya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. untukmu. untukmu,aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu,bahagia
5,tetap semangat,"bondan prakoso, fade2black",satu bahasa jutaan makna cerita. satu kata perkata diawal langkah pertama. ini saatnya kita tentukan langkah baru. bergerak maju berwarna dan berdebu. aku disini dan engkau disana oi. bersama coba langkahi semua bendera oi. redam amarah mari bersuara. bicara bahasa kita dengan banyak cinta uuu. yea and itu goes like this. maju bergerak hadapi semuanya. membuka mata lebar rude boy haa lupakan luka. karena untuk terus berada didalam garis. kau tau pasti jadi orang harus optimis. please tepislah egois aku tidak perlukan di sini. hanya langkah optimis realistis. menggores tinta dengan sentuhan klasik. membakar jiwa dengan teknik terbaik sih mon. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat. eiyo kawan lihat kedepan. tunjukkan jalan bagi kita agar bertahan. teruskan teruskan teruskan lagi. hingga semua bermakna murni dan abadi. bergeraklah ragaku dan lakukan sesuatu ooi. dunia ini begitu ramai dan tidak tepat bila kau layu. berhasilah. respect pantang menyerah. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat,woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat,bahagia
6,semua tentang kita,peterpan,waktu terasa semakin berlalu. tinggalkan cerita tentang kita. akan tiada lagi kini tawamu. untuk hapuskan semua sepi di hati. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa. teringat di saat kita tertawa bersama. ceritakan semua tentang kita. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa,ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa,sedih
7,aku cinta dia,chrisye,disaat kau berjalan dimuka rumahku. penuh gaya. tersita pandanganku hingga kuterpesona. siapakah dirimu hatipun ingin tahu segera. dimanakah rumahmu siapakah namamu. sebutkanlah. kuingin berkenalan terbawa dalam mimpi. diriku dimabuk asmara. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia. disaat kau berjalan. di muka rumahku. penuh gaya. tersita pandanganku. hinggaku terpesona. gayamu dan wajahmu. terbawa dalam mimpi. diriku. dimabuk asmaraaaa. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta . aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada landangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia fade out,hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia,bahagia
8,fortune cookie yang mencinta,jkt48,walaupun diri ini menyukaimu. kamu seperti tidak tertarik kepadaku. siap patah hati kesekian kalinya. yeah yeah yeah . ketika kulihat di sekelilingku. ternyata banyak sekali gadis yang cantik. bunga yang tidak menarik tidak akan disadari. yeah yeah yeah . saat aku melamun terdengar musik. mengalun di kafetaria. tanpa sadar kuikuti iramanya. dan ujung jari pun mulai bergerak. perasaanku ini tidak dapat berhenti. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu. ingin ungkapkan perasaan padamu. tetapi aku tidak percaya diri. karena reaksimu terbayang di benakku. yeah yeah yeah . meski cowok bilang gadis ideal. yang punya kepribadian baik. penampilan itu menguntungkan. selalu hanya gadis cantik saja. yang kan dipilih menjadi nomor satu. please please please oh baby. lihatlah diriku. yang mencinta fortune cookie. cangkang itu ayo coba pecahkan saja. hey hey hey . apa yang kan terjadi. siapa pun tidak ada yang tahu. air mata fortune cookie. aku mohon jangan menjadi hal yang buruk. hey hey hey . hey hey hey . dunia ini kan dipenuhi oleh cinta. esok hari akan berhembus angin yang baru. yang membuat kita terlupa akan hal yang menyedihkan. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu,yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu,bahagia
9,butiran debu,rumor,namaku cinta. ketika kita bersama. berbagi rasa untuk selamanya. namaku cinta. ketika kita bersama. berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat cintaku berkhianat. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. namaku cinta ketika kita bersama . berbagi rasa untuk selamanya. namaku cinta ketika kita bersama . berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat. cintaku berkhianat. menepi. menepilah. menjauh. semua yang terjadi. antara kita. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. dalam luka dalam. aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu,aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu,sedih
